Target Scanner Beacons:
(-862, 834, -491)
(-704, 853, 778)
(-577, -475, -324)
(707, 862, -788)
(-830, -538, 785)
(-72, -45, -21)
(-923, 797, -524)
(579, -736, 817)
(764, 896, -611)
(-897, -542, 748)
(567, 595, 938)
(-772, 762, 903)
(-583, -519, -525)
(-569, -609, -339)
(358, 610, 931)
(477, -769, 705)
(-44, 89, 156)
(483, 691, 867)
(556, -378, -311)
(-810, -589, 711)
(599, -282, -259)
(-895, 949, -416)
(-743, 681, 734)
(768, 844, -655)
(696, -431, -275)
(569, -720, 811)

Scanner Beacons posX, 0:
(4, -109, 727)
(434, 573, -365)
(-236, 183, 114)
(413, 780, -309)
(-862, 834, -491)
(-760, 873, -453)
(133, -302, -729)
(-427, 229, 204)
(125, -249, -604)
(458, 967, 747)
(442, 961, 757)
(-850, 732, -460)
(153, -125, 630)
(100, -141, -653)
(100, -161, 770)
(320, 687, -383)
(491, 855, 849)

Scanner Beacons posX, 0:
(-98, -148, 689)
(332, 534, -403)
(-338, 144, 76)
(311, 741, -347)
(-964, 795, -529)
(-862, 834, -491)
(31, -341, -767)
(-529, 190, 166)
(23, -288, -642)
(356, 928, 709)
(340, 922, 719)
(-952, 693, -498)
(51, -164, 592)
(-2, -180, -691)
(-2, -200, 732)
(218, 648, -421)
(389, 816, 811)

Scanner Beacons posX, 0:
(-8, -7, 696)
(422, 675, -396)
(-248, 285, 83)
(401, 882, -340)
(-874, 936, -522)
(-772, 975, -484)
(121, -200, -760)
(-439, 331, 173)
(113, -147, -635)
(-862, 834, -491)
(141, -23, 599)
(88, -39, -684)
(88, -59, 739)
(308, 789, -414)
(479, 957, 818)

Scanner Beacons posX, 0:
(592, 592, 904)
(571, 799, 960)
(-891, -505, 632)
(-704, 853, 778)
(-602, 892, 816)
(291, -283, 540)
(283, -230, 665)
(-847, -537, 768)
(-692, 751, 809)
(-956, -503, 666)
(258, -122, 616)
(478, 706, 886)

Scanner Beacons posX, 0:
(269, -273, 662)
(699, 409, -430)
(29, 19, 49)
(678, 616, -374)
(-784, -688, -702)
(-875, -802, 554)
(-597, 670, -556)
(-495, 709, -518)
(398, -466, -794)
(-162, 65, 139)
(390, -413, -669)
(-909, -625, 497)
(-704, 853, 778)
(-623, 917, 903)
(723, 803, 682)
(-740, -720, -566)
(-857, -669, 493)
(707, 797, 692)
(-585, 568, -525)
(-849, -686, -668)
(418, -289, 565)
(-608, 924, 694)
(365, -305, -718)
(365, -325, 705)
(585, 523, -448)
(756, 691, 784)

Scanner Beacons posX, 0:
(188, -337, 537)
(618, 345, -555)
(-52, -45, -76)
(597, 552, -499)
(-865, -752, -827)
(-956, -866, 429)
(-678, 606, -681)
(-576, 645, -643)
(317, -530, -919)
(-243, 1, 14)
(309, -477, -794)
(-990, -689, 372)
(-785, 789, 653)
(-704, 853, 778)
(642, 739, 557)
(-821, -784, -691)
(-938, -733, 368)
(626, 733, 567)
(-666, 504, -650)
(-930, -750, -793)
(337, -353, 440)
(-689, 860, 569)
(284, -369, -843)
(284, -389, 580)
(504, 459, -573)
(675, 627, 659)

Scanner Beacons posX, 0:
(580, 694, 873)
(559, 901, 929)
(-903, -403, 601)
(-716, 955, 747)
(-614, 994, 785)
(279, -181, 509)
(271, -128, 634)
(-859, -435, 737)
(-704, 853, 778)
(-968, -401, 635)
(246, -20, 585)
(466, 808, 855)

Scanner Beacons posX, 0:
(173, -344, 746)
(603, 338, -346)
(-67, -52, 133)
(582, 545, -290)
(-880, -759, -618)
(-971, -873, 638)
(-693, 599, -472)
(-591, 638, -434)
(302, -537, -710)
(-258, -6, 223)
(294, -484, -585)
(-800, 782, 862)
(-719, 846, 987)
(627, 732, 766)
(-836, -791, -482)
(-953, -740, 577)
(611, 726, 776)
(-681, 497, -441)
(-945, -757, -584)
(322, -360, 649)
(-704, 853, 778)
(269, -376, -634)
(269, -396, 789)
(489, 452, -364)
(660, 620, 868)

Scanner Beacons posX, 0:
(906, 622, -52)
(236, 232, 427)
(885, 829, 4)
(-577, -475, -324)
(-668, -589, 932)
(-390, 883, -178)
(-288, 922, -140)
(605, -253, -416)
(45, 278, 517)
(597, -200, -291)
(-702, -412, 875)
(-533, -507, -188)
(-650, -456, 871)
(-378, 781, -147)
(-642, -473, -290)
(625, -76, 943)
(572, -92, -340)
(792, 736, -70)

Scanner Beacons posX, 0:
(-146, -813, 199)
(284, -131, -893)
(-386, -521, -414)
(263, 76, -837)
(-910, 169, -981)
(-577, -475, -324)
(308, 263, 219)
(292, 257, 229)
(-1000, 28, -988)
(3, -829, 102)
(-50, -865, 242)
(170, -17, -911)
(341, 151, 321)

Scanner Beacons posX, 0:
(432, -28, 904)
